natural_class,mean,std,min,max
very_low,12.834071741919638,2.923274430192692,2,28
low,13.076786526342342,2.9473370977514,2,28
medium,13.09024722439216,2.9365767676226007,2,28
high,13.073300564287853,2.9521364027795576,2,28
very_high,14.469552047565793,2.7003433662395167,6,28
