meaning,cold,cool,hot,warm,TOTAL
configuration,730906,95803,0,55192,881901
data_table,5584,422539,0,0,428123
documentation,0,477762,0,19625,497387
executable_binary,0,0,8024,0,8024
formal_proof,4058,982,0,1301,6341
library_binary,0,0,1493,0,1493
library_code,0,0,0,922401,922401
source_code,121441,11241,0,583782,716464
test_code,0,1266122,0,80331,1346453
unknown,2547946,658446,0,2213,3208605
TOTAL,3409935,2932895,9517,1664845,8017192
