natural_class,configuration,data_table,documentation,executable_binary,formal_proof,library_binary,library_code,source_code,test_code,unknown,TOTAL
very_low,206621,114362,110698,1731,1388,397,210130,181280,314936,877890,2019433
low,222949,108590,125903,2070,1598,391,233236,181746,340062,813134,2029679
medium,217005,102647,123175,1919,1586,370,227262,176556,333349,792635,1976504
high,180192,90356,100742,1643,1304,291,188424,146142,274223,652373,1635690
very_high,55134,12168,36869,661,465,44,63349,30740,83883,72573,355886
TOTAL,881901,428123,497387,8024,6341,1493,922401,716464,1346453,3208605,8017192
