Class,Files,Sum_Range,Mean_Sum,Pct
very_low,2019433,3-49,32.440333499551606,25.188781807894834
low,2029679,50-85,68.49488860061123,25.31658216492757
medium,1976504,86-120,104.00050493194044,24.653320015287147
high,1635690,121-149,135.98407950161706,20.402280499207205
very_high,355886,150-173,154.70910066706753,4.439035512683244
TOTAL,8017192,3-173,85.76291212683942,100.0
