natural_class,count,mean,std,min,25%,50%,75%,max
very_low,2019433,32.440333499551606,10.626885098103108,3,24.0,33.0,42.0,50
low,2029679,68.49488860061123,10.393168002703728,51,59.0,68.0,78.0,86
medium,1976504,104.00050493194044,10.101282072760585,87,95.0,104.0,113.0,121
high,1635690,135.98407950161706,8.362983390850317,122,129.0,136.0,143.0,150
very_high,355886,154.70910066706753,3.0335295428203493,151,152.0,154.0,157.0,173
