natural_class,mean,std,mode
very_low,8.527263840889992,5.313427845118633,9
low,26.36363287002526,5.523728776468012,27
medium,44.112942346688904,5.382762767264972,44
high,60.10460356179961,4.571535523691919,58
very_high,68.37379947511282,1.5146339335620236,70
