natural_class,cold,cool,hot,warm,TOTAL
very_low,896426,730801,2128,390078,2019433
low,863073,742668,2461,421477,2029679
medium,842398,721852,2289,409965,1976504
high,694919,598748,1934,340089,1635690
very_high,113119,138826,705,103236,355886
TOTAL,3409935,2932895,9517,1664845,8017192
